Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)
U+02193	↓	\downarrow	Downwards Arrow / Down Arrow
U+02194	↔	\leftrightarrow, \:left_right_arrow:	Left Right Arrow
U+02195	↕	\updownarrow, \:arrow_up_down:	Up Down Arrow
U+02196	↖	\nwarrow, \:arrow_upper_left:	North West Arrow / Upper Left Arrow
U+02197	↗	\nearrow, \:arrow_upper_right:	North East Arrow / Upper Right Arrow
U+02198	↘	\searrow, \:arrow_lower_right:	South East Arrow / Lower Right Arrow
U+02199	↙	\swarrow, \:arrow_lower_left:	South West Arrow / Lower Left Arrow
U+0219A	↚	\nleftarrow	Leftwards Arrow With Stroke / Left Arrow With Stroke
U+0219B	↛	\nrightarrow	Rightwards Arrow With Stroke / Right Arrow With Stroke
U+0219C	↜	\leftwavearrow	Leftwards Wave Arrow / Left Wave Arrow
U+0219D	↝	\rightwavearrow	Rightwards Wave Arrow / Right Wave Arrow
U+0219E	↞	\twoheadleftarrow	Leftwards Two Headed Arrow / Left Two Headed Arrow
U+0219F	↟	\twoheaduparrow	Upwards Two Headed Arrow / Up Two Headed Arrow
U+021A0	↠	\twoheadrightarrow	Rightwards Two Headed Arrow / Right Two Headed Arrow
U+021A1	↡	\twoheaddownarrow	Downwards Two Headed Arrow / Down Two Headed Arrow
U+021A2	↢	\leftarrowtail	Leftwards Arrow With Tail / Left Arrow With Tail
U+021A3	↣	\rightarrowtail	Rightwards Arrow With Tail / Right Arrow With Tail
U+021A4	↤	\mapsfrom	Leftwards Arrow From Bar / Left Arrow From Bar
U+021A5	↥	\mapsup	Upwards Arrow From Bar / Up Arrow From Bar
U+021A6	↦	\mapsto	Rightwards Arrow From Bar / Right Arrow From Bar
U+021A7	↧	\mapsdown	Downwards Arrow From Bar / Down Arrow From Bar
U+021A8	↨	\updownarrowbar	Up Down Arrow With Base
U+021A9	↩	\hookleftarrow, \:leftwards_arrow_with_hook:	Leftwards Arrow With Hook / Left Arrow With Hook
U+021AA	↪	\hookrightarrow, \:arrow_right_hook:	Rightwards Arrow With Hook / Right Arrow With Hook
U+021AB	↫	\looparrowleft	Leftwards Arrow With Loop / Left Arrow With Loop
U+021AC	↬	\looparrowright	Rightwards Arrow With Loop / Right Arrow With Loop
U+021AD	↭	\leftrightsquigarrow	Left Right Wave Arrow
U+021AE	↮	\nleftrightarrow	Left Right Arrow With Stroke
U+021AF	↯	\downzigzagarrow	Downwards Zigzag Arrow / Down Zigzag Arrow
U+021B0	↰	\Lsh	Upwards Arrow With Tip Leftwards / Up Arrow With Tip Left
U+021B1	↱	\Rsh	Upwards Arrow With Tip Rightwards / Up Arrow With Tip Right
U+021B2	↲	\Ldsh	Downwards Arrow With Tip Leftwards / Down Arrow With Tip Left
U+021B3	↳	\Rdsh	Downwards Arrow With Tip Rightwards / Down Arrow With Tip Right
U+021B4	↴	\linefeed	Rightwards Arrow With Corner Downwards / Right Arrow With Corner Down
U+021B5	↵	\carriagereturn	Downwards Arrow With Corner Leftwards / Down Arrow With Corner Left
U+021B6	↶	\curvearrowleft	Anticlockwise Top Semicircle Arrow
U+021B7	↷	\curvearrowright	Clockwise Top Semicircle Arrow
U+021B8	↸	\barovernorthwestarrow	North West Arrow To Long Bar / Upper Left Arrow To Long Bar
U+021B9	↹	\barleftarrowrightarrowbar	Leftwards Arrow To Bar Over Rightwards Arrow To Bar / Left Arrow To Bar Over Right Arrow To Bar
U+021BA	↺	\circlearrowleft	Anticlockwise Open Circle Arrow
U+021BB	↻	\circlearrowright	Clockwise Open Circle Arrow
U+021BC	↼	\leftharpoonup	Leftwards Harpoon With Barb Upwards / Left Harpoon With Barb Up
U+021BD	↽	\leftharpoondown	Leftwards Harpoon With Barb Downwards / Left Harpoon With Barb Down
U+021BE	↾	\upharpoonright	Upwards Harpoon With Barb Rightwards / Up Harpoon With Barb Right
U+021BF	↿	\upharpoonleft	Upwards Harpoon With Barb Leftwards / Up Harpoon With Barb Left
U+021C0	⇀	\rightharpoonup	Rightwards Harpoon With Barb Upwards / Right Harpoon With Barb Up
U+021C1	⇁	\rightharpoondown	Rightwards Harpoon With Barb Downwards / Right Harpoon With Barb Down
U+021C2	⇂	\downharpoonright	Downwards Harpoon With Barb Rightwards / Down Harpoon With Barb Right
U+021C3	⇃	\downharpoonleft	Downwards Harpoon With Barb Leftwards / Down Harpoon With Barb Left
U+021C4	⇄	\rightleftarrows	Rightwards Arrow Over Leftwards Arrow / Right Arrow Over Left Arrow
U+021C5	⇅	\dblarrowupdown	Upwards Arrow Leftwards Of Downwards Arrow / Up Arrow Left Of Down Arrow
U+021C6	⇆	\leftrightarrows	Leftwards Arrow Over Rightwards Arrow / Left Arrow Over Right Arrow
U+021C7	⇇	\leftleftarrows	Leftwards Paired Arrows / Left Paired Arrows
U+021C8	⇈	\upuparrows	Upwards Paired Arrows / Up Paired Arrows
U+021C9	⇉	\rightrightarrows	Rightwards Paired Arrows / Right Paired Arrows
U+021CA	⇊	\downdownarrows	Downwards Paired Arrows / Down Paired Arrows
U+021CB	⇋	\leftrightharpoons	Leftwards Harpoon Over Rightwards Harpoon / Left Harpoon Over Right Harpoon
U+021CC	⇌	\rightleftharpoons	Rightwards Harpoon Over Leftwards Harpoon / Right Harpoon Over Left Harpoon
U+021CD	⇍	\nLeftarrow	Leftwards Double Arrow With Stroke / Left Double Arrow With Stroke
U+021CE	⇎	\nLeftrightarrow	Left Right Double Arrow With Stroke
U+021CF	⇏	\nRightarrow	Rightwards Double Arrow With Stroke / Right Double Arrow With Stroke
U+021D0	⇐	\Leftarrow	Leftwards Double Arrow / Left Double Arrow
U+021D1	⇑	\Uparrow	Upwards Double Arrow / Up Double Arrow
U+021D2	⇒	\Rightarrow	Rightwards Double Arrow / Right Double Arrow
U+021D3	⇓	\Downarrow	Downwards Double Arrow / Down Double Arrow
U+021D4	⇔	\Leftrightarrow	Left Right Double Arrow
U+021D5	⇕	\Updownarrow	Up Down Double Arrow
U+021D6	⇖	\Nwarrow	North West Double Arrow / Upper Left Double Arrow
U+021D7	⇗	\Nearrow	North East Double Arrow / Upper Right Double Arrow
U+021D8	⇘	\Searrow	South East Double Arrow / Lower Right Double Arrow
U+021D9	⇙	\Swarrow	South West Double Arrow / Lower Left Double Arrow
U+021DA	⇚	\Lleftarrow	Leftwards Triple Arrow / Left Triple Arrow
U+021DB	⇛	\Rrightarrow	Rightwards Triple Arrow / Right Triple Arrow
U+021DC	⇜	\leftsquigarrow	Leftwards Squiggle Arrow / Left Squiggle Arrow
U+021DD	⇝	\rightsquigarrow	Rightwards Squiggle Arrow / Right Squiggle Arrow
U+021DE	⇞	\nHuparrow	Upwards Arrow With Double Stroke / Up Arrow With Double Stroke
U+021DF	⇟	\nHdownarrow	Downwards Arrow With Double Stroke / Down Arrow With Double Stroke
U+021E0	⇠	\leftdasharrow	Leftwards Dashed Arrow / Left Dashed Arrow
U+021E1	⇡	\updasharrow	Upwards Dashed Arrow / Up Dashed Arrow
U+021E2	⇢	\rightdasharrow	Rightwards Dashed Arrow / Right Dashed Arrow
U+021E3	⇣	\downdasharrow	Downwards Dashed Arrow / Down Dashed Arrow
U+021E4	⇤	\barleftarrow	Leftwards Arrow To Bar / Left Arrow To Bar
U+021E5	⇥	\rightarrowbar	Rightwards Arrow To Bar / Right Arrow To Bar
U+021E6	⇦	\leftwhitearrow	Leftwards White Arrow / White Left Arrow
U+021E7	⇧	\upwhitearrow	Upwards White Arrow / White Up Arrow
U+021E8	⇨	\rightwhitearrow	Rightwards White Arrow / White Right Arrow
U+021E9	⇩	\downwhitearrow	Downwards White Arrow / White Down Arrow
U+021EA	⇪	\whitearrowupfrombar	Upwards White Arrow From Bar / White Up Arrow From Bar
U+021F4	⇴	\circleonrightarrow	Right Arrow With Small Circle
U+021F5	⇵	\DownArrowUpArrow	Downwards Arrow Leftwards Of Upwards Arrow
U+021F6	⇶	\rightthreearrows	Three Rightwards Arrows
U+021F7	⇷	\nvleftarrow	Leftwards Arrow With Vertical Stroke
U+021F8	⇸	\nvrightarrow	Rightwards Arrow With Vertical Stroke
U+021F9	⇹	\nvleftrightarrow	Left Right Arrow With Vertical Stroke
U+021FA	⇺	\nVleftarrow	Leftwards Arrow With Double Vertical Stroke
U+021FB	⇻	\nVrightarrow	Rightwards Arrow With Double Vertical Stroke
U+021FC	⇼	\nVleftrightarrow	Left Right Arrow With Double Vertical Stroke
U+021FD	⇽	\leftarrowtriangle	Leftwards Open-Headed Arrow
U+021FE	⇾	\rightarrowtriangle	Rightwards Open-Headed Arrow
U+021FF	⇿	\leftrightarrowtriangle	Left Right Open-Headed Arrow
U+02200	∀	\forall	For All
U+02201	∁	\complement	Complement
U+02202	∂	\partial	Partial Differential
U+02203	∃	\exists	There Exists
U+02204	∄	\nexists	There Does Not Exist
U+02205	∅	\varnothing, \emptyset	Empty Set
U+02206	∆	\increment	Increment
U+02207	∇	\del, \nabla	Nabla
U+02208	∈	\in	Element Of
U+02209	∉	\notin	Not An Element Of
U+0220A	∊	\smallin	Small Element Of
U+0220B	∋	\ni	Contains As Member
U+0220C	∌	\nni	Does Not Contain As Member
U+0220D	∍	\smallni	Small Contains As Member
U+0220E	∎	\QED	End Of Proof
U+0220F	∏	\prod	N-Ary Product
U+02210	∐	\coprod	N-Ary Coproduct
U+02211	∑	\sum	N-Ary Summation
U+02212	−	\minus	Minus Sign
U+02213	∓	\mp	Minus-Or-Plus Sign
U+02214	∔	\dotplus	Dot Plus
U+02216	∖	\setminus	Set Minus
U+02217	∗	\ast	Asterisk Operator
U+02218	∘	\circ	Ring Operator
U+02219	∙	\vysmblkcircle	Bullet Operator
U+0221A	√	\surd, \sqrt	Square Root
U+0221B	∛	\cbrt	Cube Root
U+0221C	∜	\fourthroot	Fourth Root
U+0221D	∝	\propto	Proportional To
U+0221E	∞	\infty	Infinity
U+0221F	∟	\rightangle	Right Angle
U+02220	∠	\angle	Angle
U+02221	∡	\measuredangle	Measured Angle
U+02222	∢	\sphericalangle	Spherical Angle
U+02223	∣	\mid	Divides
U+02224	∤	\nmid	Does Not Divide
U+02225	∥	\parallel	Parallel To
U+02226	∦	\nparallel	Not Parallel To
U+02227	∧	\wedge	Logical And
U+02228	∨	\vee	Logical Or
U+02229	∩	\cap	Intersection
U+0222A	∪	\cup	Union
U+0222B	∫	\int	Integral
U+0222C	∬	\iint	Double Integral
U+0222D	∭	\iiint	Triple Integral
U+0222E	∮	\oint	Contour Integral
U+0222F	∯	\oiint	Surface Integral
U+02230	∰	\oiiint	Volume Integral
U+02231	∱	\clwintegral	Clockwise Integral
U+02232	∲	\varointclockwise	Clockwise Contour Integral
U+02233	∳	\ointctrclockwise	Anticlockwise Contour Integral
U+02234	∴	\therefore	Therefore
U+02235	∵	\because	Because
U+02237	∷	\Colon	Proportion
U+02238	∸	\dotminus	Dot Minus
U+0223A	∺	\dotsminusdots	Geometric Proportion
U+0223B	∻	\kernelcontraction	Homothetic
U+0223C	∼	\sim	Tilde Operator
U+0223D	∽	\backsim	Reversed Tilde
U+0223E	∾	\lazysinv	Inverted Lazy S
U+0223F	∿	\sinewave	Sine Wave
U+02240	≀	\wr	Wreath Product
U+02241	≁	\nsim	Not Tilde
U+02242	≂	\eqsim	Minus Tilde
U+02242 + U+00338	≂̸	\neqsim	Minus Tilde + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+02243	≃	\simeq	Asymptotically Equal To
U+02244	≄	\nsime	Not Asymptotically Equal To
U+02245	≅	\cong	Approximately Equal To
U+02246	≆	\approxnotequal	Approximately But Not Actually Equal To
U+02247	≇	\ncong	Neither Approximately Nor Actually Equal To
U+02248	≈	\approx	Almost Equal To
U+02249	≉	\napprox	Not Almost Equal To
U+0224A	≊	\approxeq	Almost Equal Or Equal To
U+0224B	≋	\tildetrpl	Triple Tilde
U+0224C	≌	\allequal	All Equal To
U+0224D	≍	\asymp	Equivalent To
U+0224E	≎	\Bumpeq	Geometrically Equivalent To
U+0224E + U+00338	≎̸	\nBumpeq	Geometrically Equivalent To + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+0224F	≏	\bumpeq	Difference Between
U+0224F + U+00338	≏̸	\nbumpeq	Difference Between + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+02250	≐	\doteq	Approaches The Limit
U+02251	≑	\Doteq	Geometrically Equal To
U+02252	≒	\fallingdotseq	Approximately Equal To Or The Image Of
U+02253	≓	\risingdotseq	Image Of Or Approximately Equal To
U+02254	≔	\coloneq	Colon Equals / Colon Equal
U+02255	≕	\eqcolon	Equals Colon / Equal Colon
U+02256	≖	\eqcirc	Ring In Equal To
U+02257	≗	\circeq	Ring Equal To
U+02258	≘	\arceq	Corresponds To
U+02259	≙	\wedgeq	Estimates
U+0225A	≚	\veeeq	Equiangular To
U+0225B	≛	\starequal	Star Equals
U+0225C	≜	\triangleq	Delta Equal To
U+0225D	≝	\eqdef	Equal To By Definition
U+0225E	≞	\measeq	Measured By
U+0225F	≟	\questeq	Questioned Equal To
U+02260	≠	\ne	Not Equal To
U+02261	≡	\equiv	Identical To
U+02262	≢	\nequiv	Not Identical To
U+02263	≣	\Equiv	Strictly Equivalent To
U+02264	≤	\le, \leq	Less-Than Or Equal To / Less Than Or Equal To
U+02265	≥	\ge, \geq	Greater-Than Or Equal To / Greater Than Or Equal To
U+02266	≦	\leqq	Less-Than Over Equal To / Less Than Over Equal To
U+02267	≧	\geqq	Greater-Than Over Equal To / Greater Than Over Equal To
U+02268	≨	\lneqq	Less-Than But Not Equal To / Less Than But Not Equal To
U+02268 + U+0FE00	≨︀	\lvertneqq	Less-Than But Not Equal To / Less Than But Not Equal To + Variation Selector-1
U+02269	≩	\gneqq	Greater-Than But Not Equal To / Greater Than But Not Equal To
U+02269 + U+0FE00	≩︀	\gvertneqq	Greater-Than But Not Equal To / Greater Than But Not Equal To + Variation Selector-1
U+0226A	≪	\ll	Much Less-Than / Much Less Than
U+0226A + U+00338	≪̸	\NotLessLess	Much Less-Than / Much Less Than + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+0226B	≫	\gg	Much Greater-Than / Much Greater Than
U+0226B + U+00338	≫̸	\NotGreaterGreater	Much Greater-Than / Much Greater Than + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+0226C	≬	\between	Between
U+0226D	≭	\nasymp	Not Equivalent To
U+0226E	≮	\nless	Not Less-Than / Not Less Than
U+0226F	≯	\ngtr	Not Greater-Than / Not Greater Than
U+02270	≰	\nleq	Neither Less-Than Nor Equal To / Neither Less Than Nor Equal To
U+02271	≱	\ngeq	Neither Greater-Than Nor Equal To / Neither Greater Than Nor Equal To
U+02272	≲	\lesssim	Less-Than Or Equivalent To / Less Than Or Equivalent To
U+02273	≳	\gtrsim	Greater-Than Or Equivalent To / Greater Than Or Equivalent To
U+02274	≴	\nlesssim	Neither Less-Than Nor Equivalent To / Neither Less Than Nor Equivalent To
U+02275	≵	\ngtrsim	Neither Greater-Than Nor Equivalent To / Neither Greater Than Nor Equivalent To
U+02276	≶	\lessgtr	Less-Than Or Greater-Than / Less Than Or Greater Than
U+02277	≷	\gtrless	Greater-Than Or Less-Than / Greater Than Or Less Than
U+02278	≸	\notlessgreater	Neither Less-Than Nor Greater-Than / Neither Less Than Nor Greater Than
U+02279	≹	\notgreaterless	Neither Greater-Than Nor Less-Than / Neither Greater Than Nor Less Than
U+0227A	≺	\prec	Precedes
U+0227B	≻	\succ	Succeeds
U+0227C	≼	\preccurlyeq	Precedes Or Equal To
U+0227D	≽	\succcurlyeq	Succeeds Or Equal To
U+0227E	≾	\precsim	Precedes Or Equivalent To
U+0227E + U+00338	≾̸	\nprecsim	Precedes Or Equivalent To + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+0227F	≿	\succsim	Succeeds Or Equivalent To
U+0227F + U+00338	≿̸	\nsuccsim	Succeeds Or Equivalent To + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+02280	⊀	\nprec	Does Not Precede
U+02281	⊁	\nsucc	Does Not Succeed
U+02282	⊂	\subset	Subset Of
U+02283	⊃	\supset	Superset Of
U+02284	⊄	\nsubset	Not A Subset Of
U+02285	⊅	\nsupset	Not A Superset Of
U+02286	⊆	\subseteq	Subset Of Or Equal To
U+02287	⊇	\supseteq	Superset Of Or Equal To
U+02288	⊈	\nsubseteq	Neither A Subset Of Nor Equal To
U+02289	⊉	\nsupseteq	Neither A Superset Of Nor Equal To
U+0228A	⊊	\subsetneq	Subset Of With Not Equal To / Subset Of Or Not Equal To
U+0228A + U+0FE00	⊊︀	\varsubsetneqq	Subset Of With Not Equal To / Subset Of Or Not Equal To + Variation Selector-1
U+0228B	⊋	\supsetneq	Superset Of With Not Equal To / Superset Of Or Not Equal To
U+0228B + U+0FE00	⊋︀	\varsupsetneq	Superset Of With Not Equal To / Superset Of Or Not Equal To + Variation Selector-1
U+0228D	⊍	\cupdot	Multiset Multiplication
U+0228E	⊎	\uplus	Multiset Union
U+0228F	⊏	\sqsubset	Square Image Of
U+0228F + U+00338	⊏̸	\NotSquareSubset	Square Image Of + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+02290	⊐	\sqsupset	Square Original Of
U+02290 + U+00338	⊐̸	\NotSquareSuperset	Square Original Of + Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+02291	⊑	\sqsubseteq	Square Image Of Or Equal To
U+02292	⊒	\sqsupseteq	Square Original Of Or Equal To
U+02293	⊓	\sqcap	Square Cap
U+02294	⊔	\sqcup	Square Cup
U+02295	⊕	\oplus	Circled Plus
U+02296	⊖	\ominus	Circled Minus
U+02297	⊗	\otimes	Circled Times
U+02298	⊘	\oslash	Circled Division Slash
U+02299	⊙	\odot	Circled Dot Operator
U+0229A	⊚	\circledcirc	Circled Ring Operator
U+0229B	⊛	\circledast	Circled Asterisk Operator
U+0229C	⊜	\circledequal	Circled Equals
U+0229D	⊝	\circleddash	Circled Dash
U+0229E	⊞	\boxplus	Squared Plus
U+0229F	⊟	\boxminus	Squared Minus
U+022A0	⊠	\boxtimes	Squared Times
U+022A1	⊡	\boxdot	Squared Dot Operator
U+022A2	⊢	\vdash	Right Tack
U+022A3	⊣	\dashv	Left Tack
U+022A4	⊤	\top	Down Tack
U+022A5	⊥	\bot	Up Tack
U+022A7	⊧	\models	Models
U+022A8	⊨	\vDash	True
U+022A9	⊩	\Vdash	Forces
U+022AA	⊪	\Vvdash	Triple Vertical Bar Right Turnstile
U+022AB	⊫	\VDash	Double Vertical Bar Double Right Turnstile
U+022AC	⊬	\nvdash	Does Not Prove
U+022AD	⊭	\nvDash	Not True
U+022AE	⊮	\nVdash	Does Not Force
U+022AF	⊯	\nVDash	Negated Double Vertical Bar Double Right Turnstile
U+022B0	⊰	\prurel	Precedes Under Relation
U+022B1	⊱	\scurel	Succeeds Under Relation
U+022B2	⊲	\vartriangleleft	Normal Subgroup Of
U+022B3	⊳	\vartriangleright	Contains As Normal Subgroup
U+022B4	⊴	\trianglelefteq	Normal Subgroup Of Or Equal To
U+022B5	⊵	\trianglerighteq	Contains As Normal Subgroup Or Equal To
U+022B6	⊶	\original	Original Of
U+022B7	⊷	\image	Image Of
U+022B8	⊸	\multimap	Multimap
U+022B9	⊹	\hermitconjmatrix	Hermitian Conjugate Matrix
U+022BA	⊺	\intercal	Intercalate
U+022BB	⊻	\veebar, \xor	Xor
U+022BC	⊼	\barwedge	Nand
U+022BD	⊽	\barvee	Nor
U+022BE	⊾	\rightanglearc	Right Angle With Arc
U+022BF	⊿	\varlrtriangle	Right Triangle
U+022C0	⋀	\bigwedge	N-Ary Logical And
U+022C1	⋁	\bigvee	N-Ary Logical Or
U+022C2	⋂	\bigcap	N-Ary Intersection
U+022C3	⋃	\bigcup	N-Ary Union
U+022C4	⋄	\diamond	Diamond Operator
U+022C5	⋅	\cdot	Dot Operator
U+022C6	⋆	\star	Star Operator
U+022C7	⋇	\divideontimes	Division Times
U+022C8	⋈	\bowtie	Bowtie
U+022C9	⋉	\ltimes	Left Normal Factor Semidirect Product
U+022CA	⋊	\rtimes	Right Normal Factor Semidirect Product
U+022CB	⋋	\leftthreetimes	Left Semidirect Product
U+022CC	⋌	\rightthreetimes	Right Semidirect Product
U+022CD	⋍	\backsimeq	Reversed Tilde Equals
U+022CE	⋎	\curlyvee	Curly Logical Or
U+022CF	⋏	\curlywedge	Curly Logical And
U+022D0	⋐	\Subset	Double Subset
U+022D1	⋑	\Supset	Double Superset
U+022D2	⋒	\Cap	Double Intersection
U+022D3	⋓	\Cup	Double Union
U+022D4	⋔	\pitchfork	Pitchfork
U+022D5	⋕	\equalparallel	Equal And Parallel To
U+022D6	⋖	\lessdot	Less-Than With Dot / Less Than With Dot
U+022D7	⋗	\gtrdot	Greater-Than With Dot / Greater Than With Dot
U+022D8	⋘	\verymuchless	Very Much Less-Than / Very Much Less Than
U+022D9	⋙	\ggg	Very Much Greater-Than / Very Much Greater Than
U+022DA	⋚	\lesseqgtr	Less-Than Equal To Or Greater-Than / Less Than Equal To Or Greater Than
U+022DB	⋛	\gtreqless	Greater-Than Equal To Or Less-Than / Greater Than Equal To Or Less Than
U+022DC	⋜	\eqless	Equal To Or Less-Than / Equal To Or Less Than
U+022DD	⋝	\eqgtr	Equal To Or Greater-Than / Equal To Or Greater Than
U+022DE	⋞	\curlyeqprec	Equal To Or Precedes
U+022DF	⋟	\curlyeqsucc	Equal To Or Succeeds
U+022E0	⋠	\npreccurlyeq	Does Not Precede Or Equal
U+022E1	⋡	\nsucccurlyeq	Does Not Succeed Or Equal
U+022E2	⋢	\nsqsubseteq	Not Square Image Of Or Equal To
U+022E3	⋣	\nsqsupseteq	Not Square Original Of Or Equal To
U+022E4	⋤	\sqsubsetneq	Square Image Of Or Not Equal To
U+022E5	⋥	\sqspne	Square Original Of Or Not Equal To
U+022E6	⋦	\lnsim	Less-Than But Not Equivalent To / Less Than But Not Equivalent To
U+022E7	⋧	\gnsim	Greater-Than But Not Equivalent To / Greater Than But Not Equivalent To
U+022E8	⋨	\precnsim	Precedes But Not Equivalent To
U+022E9	⋩	\succnsim	Succeeds But Not Equivalent To
U+022EA	⋪	\ntriangleleft	Not Normal Subgroup Of
U+022EB	⋫	\ntriangleright	Does Not Contain As Normal Subgroup
U+022EC	⋬	\ntrianglelefteq	Not Normal Subgroup Of Or Equal To
U+022ED	⋭	\ntrianglerighteq	Does Not Contain As Normal Subgroup Or Equal
U+022EE	⋮	\vdots	Vertical Ellipsis
U+022EF	⋯	\cdots	Midline Horizontal Ellipsis
U+022F0	⋰	\adots	Up Right Diagonal Ellipsis
U+022F1	⋱	\ddots	Down Right Diagonal Ellipsis
U+022F2	⋲	\disin	Element Of With Long Horizontal Stroke
U+022F3	⋳	\varisins	Element Of With Vertical Bar At End Of Horizontal Stroke
U+022F4	⋴	\isins	Small Element Of With Vertical Bar At End Of Horizontal Stroke
U+022F5	⋵	\isindot	Element Of With Dot Above
U+022F6	⋶	\varisinobar	Element Of With Overbar
U+022F7	⋷	\isinobar	Small Element Of With Overbar
U+022F8	⋸	\isinvb	Element Of With Underbar
U+022F9	⋹	\isinE	Element Of With Two Horizontal Strokes
U+022FA	⋺	\nisd	Contains With Long Horizontal Stroke
U+022FB	⋻	\varnis	Contains With Vertical Bar At End Of Horizontal Stroke
U+022FC	⋼	\nis	Small Contains With Vertical Bar At End Of Horizontal Stroke
U+022FD	⋽	\varniobar	Contains With Overbar
U+022FE	⋾	\niobar	Small Contains With Overbar
U+022FF	⋿	\bagmember	Z Notation Bag Membership
U+02300	⌀	\diameter	Diameter Sign
U+02302	⌂	\house	House
U+02305	⌅	\varbarwedge	Projective
U+02306	⌆	\vardoublebarwedge	Perspective
U+02308	⌈	\lceil	Left Ceiling
U+02309	⌉	\rceil	Right Ceiling
U+0230A	⌊	\lfloor	Left Floor
U+0230B	⌋	\rfloor	Right Floor
U+02310	⌐	\invnot	Reversed Not Sign
U+02311	⌑	\sqlozenge	Square Lozenge
U+02312	⌒	\profline	Arc
U+02313	⌓	\profsurf	Segment
U+02315	⌕	\recorder	Telephone Recorder
U+02317	⌗	\viewdata	Viewdata Square
U+02319	⌙	\turnednot	Turned Not Sign
U+0231A	⌚	\:watch:	Watch
U+0231B	⌛	\:hourglass:	Hourglass
U+0231C	⌜	\ulcorner	Top Left Corner
U+0231D	⌝	\urcorner	Top Right Corner
U+0231E	⌞	\llcorner	Bottom Left Corner
U+0231F	⌟	\lrcorner	Bottom Right Corner
U+02322	⌢	\frown	Frown
U+02323	⌣	\smile	Smile
U+0232C	⌬	\varhexagonlrbonds	Benzene Ring
U+02332	⌲	\conictaper	Conical Taper
U+02336	⌶	\topbot	Apl Functional Symbol I-Beam
U+0233D	⌽	\obar	Apl Functional Symbol Circle Stile
U+0233F	⌿	\notslash	Apl Functional Symbol Slash Bar
U+02340	⍀	\notbackslash	Apl Functional Symbol Backslash Bar
U+02353	⍓	\boxupcaret	Apl Functional Symbol Quad Up Caret
U+02370	⍰	\boxquestion	Apl Functional Symbol Quad Question
U+02394	⎔	\hexagon	Software-Function Symbol
U+023A3	⎣	\dlcorn	Left Square Bracket Lower Corner
U+023B0	⎰	\lmoustache	Upper Left Or Lower Right Curly Bracket Section
U+023B1	⎱	\rmoustache	Upper Right Or Lower Left Curly Bracket Section
U+023B4	⎴	\overbracket	Top Square Bracket
U+023B5	⎵	\underbracket	Bottom Square Bracket
U+023B6	⎶	\bbrktbrk	Bottom Square Bracket Over Top Square Bracket
U+023B7	⎷	\sqrtbottom	Radical Symbol Bottom
U+023B8	⎸	\lvboxline	Left Vertical Box Line
U+023B9	⎹	\rvboxline	Right Vertical Box Line
U+023CE	⏎	\varcarriagereturn	Return Symbol
U+023DE	⏞	\overbrace	Top Curly Bracket
U+023DF	⏟	\underbrace	Bottom Curly Bracket
U+023E2	⏢	\trapezium	White Trapezium
U+023E3	⏣	\benzenr	Benzene Ring With Circle
U+023E4	⏤	\strns	Straightness
U+023E5	⏥	\fltns	Flatness
U+023E6	⏦	\accurrent	Ac Current
U+023E7	⏧	\elinters	Electrical Intersection
U+023E9	⏩	\:fast_forward:	Black Right-Pointing Double Triangle
U+023EA	⏪	\:rewind:	Black Left-Pointing Double Triangle
U+023EB	⏫	\:arrow_double_up:	Black Up-Pointing Double Triangle
U+023EC	⏬	\:arrow_double_down:	Black Down-Pointing Double Triangle
U+023F0	⏰	\:alarm_clock:	Alarm Clock
U+023F3	⏳	\:hourglass_flowing_sand:	Hourglass With Flowing Sand
U+02422	␢	\blanksymbol	Blank Symbol / Blank
U+02423	␣	\visiblespace	Open Box
U+024C2	Ⓜ	\:m:	Circled Latin Capital Letter M
U+024C8	Ⓢ	\circledS	Circled Latin Capital Letter S
U+02506	┆	\dshfnc	Box Drawings Light Triple Dash Vertical / Forms Light Triple Dash Vertical
U+02519	┙	\sqfnw	Box Drawings Up Light And Left Heavy / Forms Up Light And Left Heavy
U+02571	╱	\diagup	Box Drawings Light Diagonal Upper Right To Lower Left / Forms Light Diagonal Upper Right To Lower Left
U+02572	╲	\diagdown	Box Drawings Light Diagonal Upper Left To Lower Right / Forms Light Diagonal Upper Left To Lower Right
U+02580	▀	\blockuphalf	Upper Half Block
U+02584	▄	\blocklowhalf	Lower Half Block
U+02588	█	\blockfull	Full Block
U+0258C	▌	\blocklefthalf	Left Half Block
U+02590	▐	\blockrighthalf	Right Half Block
U+02591	░	\blockqtrshaded	Light Shade
U+02592	▒	\blockhalfshaded	Medium Shade
U+02593	▓	\blockthreeqtrshaded	Dark Shade
U+025A0	■	\blacksquare	Black Square
U+025A1	□	\square	White Square
U+025A2	▢	\squoval	White Square With Rounded Corners
U+025A3	▣	\blackinwhitesquare	White Square Containing Black Small Square
